pile_id,road_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
149041,1270,24.928549,121.28801,1,1,240,87,3,
149042,1270,24.928559,121.288208,1,1,260,87,3,
149043,1270,24.92857,121.288406,1,1,280,86,3,
149044,1270,24.928581,121.288603,1,1,300,86,3,
149045,1270,24.928592,121.288801,1,1,320,86,3,
149046,1270,24.928603,121.288999,1,1,340,86,3,
149047,1270,24.928614,121.289196,1,1,360,88,3,
149048,1270,24.928621,121.289394,1,1,380,88,3,
149049,1270,24.928628,121.289592,1,1,400,88,3,
149050,1270,24.928412,121.285637,2,1,0,247,3,
149051,1270,24.928442,121.285831,2,1,20,266,3,
149052,1270,24.92844,121.286028,2,1,40,271,3,
149053,1270,24.928438,121.286226,2,1,60,267,3,
149054,1270,24.928446,121.286424,2,1,80,267,3,
149055,1270,24.928462,121.286621,2,1,100,264,3,
149056,1270,24.928482,121.286818,2,1,120,264,3,
149057,1270,24.928501,121.287015,2,1,140,264,3,
149058,1270,24.928523,121.287212,2,1,160,263,3,
149059,1270,24.928545,121.287408,2,1,180,263,3,
149060,1270,24.928561,121.287605,2,1,200,267,3,
149061,1270,24.928571,121.287803,2,1,220,267,3,
149062,1270,24.928581,121.288001,2,1,240,267,3,
149063,1270,24.928591,121.288199,2,1,260,267,3,
149064,1270,24.928602,121.288396,2,1,280,266,3,
149065,1270,24.928613,121.288594,2,1,300,266,3,
149066,1270,24.928625,121.288791,2,1,320,266,3,
149067,1270,24.928636,121.288989,2,1,340,266,3,
149068,1270,24.928647,121.289187,2,1,360,268,3,
149069,1270,24.928654,121.289385,2,1,380,268,3,
149070,1270,24.928661,121.289583,2,1,400,268,3,
149071,1271,24.9604,121.30044,1,1,0,188,3,
149072,1271,24.960221,121.30041,1,1,20,188,3,
149073,1271,24.960043,121.300381,1,1,40,188,3,
149074,1271,24.959864,121.300351,1,1,60,188,3,
149075,1271,24.959686,121.300321,1,1,80,188,3,
149076,1271,24.959507,121.300292,1,1,100,188,3,
149077,1271,24.959329,121.300262,1,1,120,188,3,
149078,1271,24.95915,121.300232,1,1,140,188,3,
149079,1271,24.958972,121.300203,1,1,160,188,3,
149080,1271,24.958793,121.300173,1,1,180,188,3,
149081,1271,24.958615,121.300143,1,1,200,188,3,
149082,1271,24.958436,121.300113,1,1,220,188,3,
149083,1271,24.958329,121.300203,1,1,240,97,3,
149084,1271,24.958307,121.300399,1,1,260,97,3,
149085,1271,24.95828,121.300595,1,1,280,99,3,
149086,1271,24.958251,121.300791,1,1,300,99,3,
149087,1271,24.958348,121.300906,1,1,320,20,3,
149088,1271,24.958518,121.300973,1,1,340,20,3,
149089,1271,24.958687,121.301041,1,1,360,20,3,
149090,1271,24.958857,121.301109,1,1,380,20,3,
149091,1271,24.959027,121.301176,1,1,400,20,3,
149092,1271,24.959196,121.301244,1,1,420,20,3,
149093,1271,24.959366,121.301312,1,1,440,20,3,
149094,1271,24.959536,121.301379,1,1,460,20,3,
149095,1271,24.959706,121.301447,1,1,480,20,3,
149096,1271,24.959875,121.301514,1,1,500,20,3,
149097,1271,24.960045,121.301582,1,1,520,20,3,
149098,1271,24.96039,121.300465,2,1,0,8,3,
149099,1271,24.960212,121.300436,2,1,20,8,3,
149100,1271,24.960033,121.300407,2,1,40,8,3,
149101,1271,24.959855,121.300378,2,1,60,8,3,
149102,1271,24.959676,121.300348,2,1,80,8,3,
149103,1271,24.959497,121.300319,2,1,100,8,3,
149104,1271,24.959319,121.30029,2,1,120,8,3,
149105,1271,24.95914,121.300261,2,1,140,8,3,
149106,1271,24.958962,121.300232,2,1,160,8,3,
149107,1271,24.958783,121.300203,2,1,180,8,3,
149108,1271,24.958604,121.300174,2,1,200,8,3,
149109,1271,24.958426,121.300144,2,1,220,8,3,
149110,1271,24.958347,121.300274,2,1,240,277,3,
149111,1271,24.958325,121.300471,2,1,260,277,3,
149112,1271,24.958298,121.300667,2,1,280,279,3,
149113,1271,24.958294,121.300848,2,1,300,200,3,
149114,1271,24.958464,121.300915,2,1,320,200,3,
149115,1271,24.958634,121.300983,2,1,340,200,3,
149116,1271,24.958803,121.301051,2,1,360,200,3,
149117,1271,24.958973,121.301119,2,1,380,200,3,
149118,1271,24.959143,121.301186,2,1,400,200,3,
149119,1271,24.959312,121.301254,2,1,420,200,3,
149120,1271,24.959482,121.301322,2,1,440,200,3,
149121,1271,24.959652,121.30139,2,1,460,200,3,
149122,1271,24.959821,121.301458,2,1,480,200,3,
149123,1271,24.959991,121.301525,2,1,500,200,3,
149330,1273,25.062954,121.177403,1,1,0,326,7,
149331,1273,25.063103,121.177292,1,1,20,325,7,
149332,1273,25.063251,121.177178,1,1,40,325,7,
149333,1273,25.063399,121.177064,1,1,60,325,7,
149334,1273,25.063548,121.176953,1,1,80,328,7,
149335,1273,25.063702,121.176848,1,1,100,328,7,
149336,1273,25.063855,121.176744,1,1,120,328,7,
149337,1273,25.064008,121.176638,1,1,140,328,7,
149338,1273,25.064161,121.176532,1,1,160,328,7,
149339,1273,25.064313,121.176426,1,1,180,328,7,
149340,1273,25.064466,121.17632,1,1,200,328,7,
149341,1273,25.064619,121.176214,1,1,220,328,7,
149342,1273,25.064775,121.176116,1,1,240,331,7,
149343,1273,25.064934,121.176021,1,1,260,331,7,
149344,1273,25.065093,121.175927,1,1,280,331,7,
149345,1273,25.065253,121.175835,1,1,300,333,7,
149346,1273,25.065414,121.175745,1,1,320,333,7,
149347,1273,25.065574,121.175655,1,1,340,333,7,
149348,1273,25.065735,121.175564,1,1,360,333,7,
149349,1273,25.065896,121.175474,1,1,380,333,7,
149350,1273,25.066058,121.175386,1,1,400,334,7,
149351,1273,25.06622,121.175299,1,1,420,334,7,
149352,1273,25.066382,121.175212,1,1,440,334,7,
149353,1273,25.066544,121.175125,1,1,460,334,7,
149354,1273,25.066706,121.175037,1,1,480,334,7,
149355,1273,25.066868,121.17495,1,1,500,334,7,
149356,1273,25.06703,121.174862,1,1,520,334,7,
149357,1273,25.067192,121.174775,1,1,540,334,7,
149358,1273,25.067354,121.174687,1,1,560,334,7,
149359,1273,25.067516,121.1746,1,1,580,334,7,
149360,1273,25.067678,121.174512,1,1,600,334,7,
149361,1273,25.06784,121.174425,1,1,620,334,7,
149362,1273,25.068003,121.174339,1,1,640,335,7,
149363,1273,25.068166,121.174253,1,1,660,335,7,
149364,1273,25.068329,121.174168,1,1,680,335,7,
149365,1273,25.068496,121.174092,1,1,700,338,7,
149366,1273,25.068663,121.174018,1,1,720,338,7,
149367,1273,25.068831,121.173945,1,1,740,338,7,
149368,1273,25.068999,121.173872,1,1,760,339,7,
149369,1273,25.069171,121.173812,1,1,780,346,7,
149370,1273,25.069346,121.173763,1,1,800,346,7,
149371,1273,25.069521,121.173714,1,1,820,346,7,
149372,1273,25.069696,121.173668,1,1,840,346,7,
149373,1273,25.069872,121.173622,1,1,860,347,7,
149374,1273,25.070048,121.173579,1,1,880,347,7,
149375,1273,25.070224,121.173535,1,1,900,347,7,
149376,1273,25.0704,121.173492,1,1,920,347,7,
149377,1273,25.070577,121.173448,1,1,940,347,7,
149378,1273,25.070753,121.173405,1,1,960,347,7,
149379,1273,25.070929,121.173361,1,1,980,347,7,
149380,1273,25.071105,121.173318,1,1,1000,347,7,
149381,1273,25.071281,121.173274,1,1,1020,348,7,
149382,1273,25.071458,121.173232,1,1,1040,348,7,
149383,1273,25.071634,121.173189,1,1,1060,348,7,
149384,1273,25.07181,121.173147,1,1,1080,348,7,
149385,1273,25.071987,121.173104,1,1,1100,347,7,
149386,1273,25.072163,121.173059,1,1,1120,347,7,
149387,1273,25.072338,121.173013,1,1,1140,347,7,
149388,1273,25.072514,121.172968,1,1,1160,347,7,
149389,1273,25.07269,121.172921,1,1,1180,346,7,
149390,1273,25.072865,121.172874,1,1,1200,346,7,
149391,1273,25.073037,121.172816,1,1,1220,342,7,
149392,1273,25.073209,121.172755,1,1,1240,339,7,
149393,1273,25.073377,121.172681,1,1,1260,334,7,
149394,1273,25.073539,121.172594,1,1,1280,334,7,
149395,1273,25.073701,121.172507,1,1,1300,334,7,
149396,1273,25.073863,121.172418,1,1,1320,332,7,
149397,1273,25.074023,121.172327,1,1,1340,332,7,
149398,1273,25.074183,121.172235,1,1,1360,332,7,
149399,1273,25.074343,121.172143,1,1,1380,332,7,
149400,1273,25.074503,121.172051,1,1,1400,331,7,
149401,1273,25.074661,121.171956,1,1,1420,331,7,
149402,1273,25.07482,121.171861,1,1,1440,331,7,
149403,1273,25.074978,121.171766,1,1,1460,331,7,
149404,1273,25.075137,121.171671,1,1,1480,331,7,
149405,1273,25.075295,121.171575,1,1,1500,331,7,
149406,1273,25.075453,121.17148,1,1,1520,331,7,
149407,1273,25.075612,121.171385,1,1,1540,331,7,
149408,1273,25.07577,121.17129,1,1,1560,330,7,
149409,1273,25.075927,121.171191,1,1,1580,330,7,
149410,1273,25.076083,121.171092,1,1,1600,330,7,
149411,1273,25.076239,121.170992,1,1,1620,330,7,
149412,1273,25.076395,121.170892,1,1,1640,330,7,
149413,1273,25.076551,121.170793,1,1,1660,330,7,
149414,1273,25.076708,121.170694,1,1,1680,330,7,
