類別碼,識別碼,起點編號,終點編號,管理單位,作業區分,設置日期,管線編號,尺寸單位,管徑寬度,管徑高度,涵管條數,管線材料,管線長度,管線型態,使用狀態,資料狀態,備註,OBJECTID,起點埋設深度,終點埋設深度,前一次Status_XY,QualityLV_Old,QualityLV
801010103,8010101030009052,,,T2,1,1.2623E+12, 11294146-3,3,0.06,0,1,PH,6.1,0,0,1,,555336,0.8,0.4,1,4,3
801010103,8010101030009090,,,T2,1,1.2623E+12, 11288872-既有管線1,3,0.12,0.06,2,PH,16,0,0,1,,555374,0.5,0.5,1,4,3
801010103,8010101030009120, , ,T3,1,1.2623E+12, ,1,1.5,0,1,PVC,6.7,0,0,1, ,555404,0.61,0.4,1,4,3
801010103,8010101030009150, , ,T2,1,1.2623E+12, ,1,2,0,1,PH,2.02,0,0,1, 序號4為接回原有孔蓋,555434,0.35,0.15,1,4,3
801010103,8010101030009158, , ,T2,1,1.2623E+12,11398280-既有管線4,3,0.12,0.06,2,PH,23,0,0,1, ,555442,0.7,0.7,1,4,4
801010103,8010101030009166, , ,T2,1,1.2623E+12, NL1241145,3,0.178,0.086,2,PH,38.1,0,0,1, ,555450,0.7,0.7,1,3,3
801010103,8010101030009177, , ,T2,1,1.2623E+12, 1141049,3,0.06,0,1,PH,12.8,0,0,1, ,555461,0.8,0.8,1,4,3
801010103,8010101030009215,,,T2,1,1.2623E+12, 11300906_既有管線1,3,0.06,0,1,PH,6.5,0,0,1,,555499,1.1,0.8,1,4,3
801010103,8010101030009263,,,T2,1,1.2623E+12, 1141287-既有管線8,3,0.12,0.06,2,PH,21.1,0,0,1,,555547,0.7,0.7,1,4,3
801010103,8010101030009298,,,T2,1,1.2623E+12,  11288872-既有管線2,3,0.178,0.086,2,PH,34,0,0,1,,555582,0.69,0.7,1,4,3
801010103,8010101030009325, , ,T2,1,1.2623E+12, 11300585-既有管線1,3,0.06,0,1,PH,12.6,0,0,1, ,555609,0.8,0.4,1,4,4
801010103,8010101030009337, , ,T2,1,1.2623E+12, ,3,0.12,0.06,2,PH,23.609745,0,0,1, ,555621,0.65,0.55,1,4,3
801010103,8010101030009340,,,T2,1,1.2623E+12,11285391-既有管線1,3,0.12,0.06,2,PH,38.8,0,0,1,,555624,0.7,0.7,1,4,3
801010103,8010101030009436, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,18,0,0,1, ,555720,0.55,0.55,1,3,3
801010103,8010101030009441, , ,T2,1,1.2623E+12, 1141434-既有管線4,3,0.178,0.086,2,PH,40.535171,0,0,1, ,555725,1.1,0.7,1,4,3
801010103,8010101030009480,,,T2,1,1.2623E+12, 1141287-既有管線9,3,0.06,0,1,PH,18.8,0,0,1,,555764,0.8,0.4,1,4,3
801010103,8010101030009483,,,T2,1,1.2623E+12, 1241319-既有管線1,3,0.12,0.06,2,PH,18,0,0,1,,555767,0.7,0.7,1,4,3
801010103,8010101030009502, , ,T3,1,1.58708E+12, ,1,6,6,4,PVC,48.7,0,0,1, ,555786,0.5,0.5,1,3,3
801010103,8010101030009520,,,T2,1,1.2623E+12, 1241475-1,1,4,2,2,PVC,14.6,0,0,0,,555804,0.7,0.7,1,4,1
801010103,8010101030009585, , ,T2,1,1.2623E+12, ,3,0.178,0.086,2,PH,22.8,0,0,1, ,555869,0.7,0.7,1,4,3
801010103,8010101030009641, , ,T2,1,1.2623E+12, 1241225-2,3,0.06,0,1,PH,4.2,0,0,1, ,555925,0.34,0.4,1,4,3
801010103,8010101030009645, , ,T2,1,1.2623E+12, 1141135,3,0.06,0,1,PH,8.2,0,0,1, ,555929,0.4,0.8,1,4,3
801010103,8010101030009694, , ,T2,1,1.2623E+12, 1141135,3,0.06,0,1,PH,19.2,0,0,1, ,555978,0.8,0.4,1,4,3
801010103,8010101030009727, , ,T2,1,1.58743E+12, ,1,1.5,0,1,PVC,35.15,0,0,0, ,556011,0.8,0.4,2,1,1
801010103,8010101030009736, , ,T3,1,1.65292E+12, ,1,4,2,2,PVC,9.8,0,0,1, ,556020,0.48,0.4,1,3,3
801010103,8010101030009753, , ,T2,1,1.2623E+12, ,3,0.178,0.178,4,PH,46.4,0,0,1, ,556037,0.5,0.5,1,3,3
801010103,8010101030009768,,,T2,1,1.2623E+12, 1141287-既有管線10,3,0.06,0,1,PH,14.7,0,0,1,,556052,0.8,0.4,1,4,3
801010103,8010101030009773,,,T2,1,1.2623E+12,  1341252-既有管線1,3,0.178,0.178,4,PH,40.1,0,0,1,,556057,0.5,1.2,1,4,3
801010103,8010101030009799, , ,T3,1,1.62821E+12, ,1,4,2,2,PVC,45.73,0,0,0, ,556083,0.7,0.7,2,1,1
801010103,8010101030009801, , ,T4,1,1.67124E+12, ,1,6,3,2,PVC,5.6,0,0,1, ,556085,0.48,0.53,1,4,3
801010103,8010101030009821, , ,T2,1,1.2623E+12, 1141135,3,0.12,0.06,2,PH,6,0,0,1, ,556105,0.5,0.5,1,4,3
801010103,8010101030009854, , ,T2,1,1.2623E+12, ,3,0.06,0,1,PH,10.4,0,0,1, ,556138,0.8,0.4,1,3,3
801010103,8010101030009871,01P01,01P02,T2,1,1.59097E+12,AC1091165201,1,2,0,1,PVC,23.7,0,0,0, ,556155,0.5,0.55,2,1,1
